email,label
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-7],Spoofed
Great job on the release! Let’s regroup next week for feedback. [ADV-56],Ham
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-73],Spam
Make your money work for you — automated trading bot inside! [ADV-85],Spam
Join our exclusive crypto community and earn 20% weekly returns! [ADV-68],Spam
Increase testosterone 300% with this clinically proven supplement. [ADV-40],Spam
Flagged content found under your social media account. View report here. [ADV-54],Spoofed
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-39],Ham
Your PayPal account is at risk. Click to secure it. [ADV-26],Spam
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-96],Spam
National e-Governance Division alert: Action required. [ADV-84],Spoofed
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-38],Spam
Join our exclusive crypto community and earn 20% weekly returns! [ADV-13],Spam
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-69],Spam
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-18],Spam
Flagged content found under your social media account. View report here. [ADV-78],Spoofed
Flagged content found under your social media account. View report here. [ADV-72],Spoofed
Your PayPal account is at risk. Click to secure it. [ADV-56],Spam
Make your money work for you — automated trading bot inside! [ADV-77],Spam
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-79],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-3],Ham
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-16],Spam
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-44],Spam
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-78],Spam
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-21],Spam
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-11],Spoofed
Security alert: Your IP triggered a government investigation. [ADV-61],Spoofed
Increase testosterone 300% with this clinically proven supplement. [ADV-28],Spam
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-75],Ham
Lunch on Friday works for me — same place? [ADV-30],Ham
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-84],Ham
You are summoned for questioning under the Cyber Security Act. [ADV-70],Spoofed
Increase testosterone 300% with this clinically proven supplement. [ADV-8],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-24],Spoofed
Make your money work for you — automated trading bot inside! [ADV-59],Spam
Case ID #3821 filed against your digital activity. Check immediately. [ADV-81],Spoofed
Security alert: Your IP triggered a government investigation. [ADV-47],Spoofed
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-23],Spoofed
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-66],Ham
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-99],Spam
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-86],Ham
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-14],Spoofed
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-60],Spam
Lunch on Friday works for me — same place? [ADV-13],Ham
Check out this new Figma prototype and leave comments before our UX review. [ADV-36],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-29],Ham
Your PayPal account is at risk. Click to secure it. [ADV-43],Spam
Flagged content found under your social media account. View report here. [ADV-85],Spoofed
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-55],Spoofed
Lowest flight deals of the season. Search and save now! [ADV-71],Spam
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-52],Ham
Legal has signed off on the NDA. Sharing it for your signature. [ADV-96],Ham
National e-Governance Division alert: Action required. [ADV-9],Spoofed
You are summoned for questioning under the Cyber Security Act. [ADV-48],Spoofed
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-42]",Ham
Legal has signed off on the NDA. Sharing it for your signature. [ADV-90],Ham
Sensitive keywords detected on your browsing session. Review urgently. [ADV-45],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-37],Spam
Lunch on Friday works for me — same place? [ADV-27],Ham
Sensitive keywords detected on your browsing session. Review urgently. [ADV-94],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-42],Spam
Flagged content found under your social media account. View report here. [ADV-1],Spoofed
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-1]",Ham
Flagged content found under your social media account. View report here. [ADV-69],Spoofed
Case ID #3821 filed against your digital activity. Check immediately. [ADV-73],Spoofed
Your PayPal account is at risk. Click to secure it. [ADV-1],Spam
National e-Governance Division alert: Action required. [ADV-60],Spoofed
Sensitive keywords detected on your browsing session. Review urgently. [ADV-56],Spoofed
Lowest flight deals of the season. Search and save now! [ADV-72],Spam
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-99]",Ham
Lunch on Friday works for me — same place? [ADV-37],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-62],Ham
Join our exclusive crypto community and earn 20% weekly returns! [ADV-51],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-37],Spoofed
Flagged content found under your social media account. View report here. [ADV-3],Spoofed
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-43],Spoofed
Here's the invoice for the July design retainer. Thanks again! [ADV-12],Ham
You are summoned for questioning under the Cyber Security Act. [ADV-97],Spoofed
You are summoned for questioning under the Cyber Security Act. [ADV-68],Spoofed
Here's the invoice for the July design retainer. Thanks again! [ADV-28],Ham
You are summoned for questioning under the Cyber Security Act. [ADV-20],Spoofed
Lunch on Friday works for me — same place? [ADV-5],Ham
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-23],Spam
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-33],Ham
Security alert: Your IP triggered a government investigation. [ADV-5],Spoofed
Join our exclusive crypto community and earn 20% weekly returns! [ADV-63],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-10],Spoofed
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-86],Spoofed
Increase testosterone 300% with this clinically proven supplement. [ADV-39],Spam
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-63],Ham
Your PayPal account is at risk. Click to secure it. [ADV-36],Spam
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-29],Spam
Device linked to prohibited content. Confirm your identity immediately. [ADV-91],Spoofed
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-9],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-71],Ham
Security alert: Your IP triggered a government investigation. [ADV-65],Spoofed
Legal has signed off on the NDA. Sharing it for your signature. [ADV-65],Ham
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-45]",Ham
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-80],Spoofed
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-57],Spam
Lunch on Friday works for me — same place? [ADV-41],Ham
Join our exclusive crypto community and earn 20% weekly returns! [ADV-24],Spam
National e-Governance Division alert: Action required. [ADV-76],Spoofed
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-17],Spoofed
Lowest flight deals of the season. Search and save now! [ADV-54],Spam
Here's the invoice for the July design retainer. Thanks again! [ADV-24],Ham
Device linked to prohibited content. Confirm your identity immediately. [ADV-62],Spoofed
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-11],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-82],Ham
National e-Governance Division alert: Action required. [ADV-8],Spoofed
You are summoned for questioning under the Cyber Security Act. [ADV-13],Spoofed
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-40],Ham
Security alert: Your IP triggered a government investigation. [ADV-41],Spoofed
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-92],Spoofed
You are summoned for questioning under the Cyber Security Act. [ADV-59],Spoofed
Lowest flight deals of the season. Search and save now! [ADV-100],Spam
Lunch on Friday works for me — same place? [ADV-15],Ham
Great job on the release! Let’s regroup next week for feedback. [ADV-48],Ham
Lunch on Friday works for me — same place? [ADV-95],Ham
Device linked to prohibited content. Confirm your identity immediately. [ADV-64],Spoofed
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-28],Spoofed
Case ID #3821 filed against your digital activity. Check immediately. [ADV-74],Spoofed
Flagged content found under your social media account. View report here. [ADV-2],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-62],Spam
Lunch on Friday works for me — same place? [ADV-44],Ham
Case ID #3821 filed against your digital activity. Check immediately. [ADV-18],Spoofed
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-46],Spam
You've been hand-picked for a guaranteed loan. No documents needed. [ADV-91],Spam
Flagged content found under your social media account. View report here. [ADV-21],Spoofed
Device linked to prohibited content. Confirm your identity immediately. [ADV-52],Spoofed
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-4],Ham
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-6],Spam
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-54]",Ham
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-34],Spam
Check out this new Figma prototype and leave comments before our UX review. [ADV-2],Ham
Join our exclusive crypto community and earn 20% weekly returns! [ADV-32],Spam
Join our exclusive crypto community and earn 20% weekly returns! [ADV-4],Spam
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-50],Ham
Here's the invoice for the July design retainer. Thanks again! [ADV-81],Ham
Cyber Law Section 66A violation notice. Immediate action required. [ADV-6],Spoofed
Legal has signed off on the NDA. Sharing it for your signature. [ADV-35],Ham
Legal has signed off on the NDA. Sharing it for your signature. [ADV-92],Ham
Here's the invoice for the July design retainer. Thanks again! [ADV-53],Ham
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-42],Spoofed
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-14],Ham
Great job on the release! Let’s regroup next week for feedback. [ADV-89],Ham
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-67],Spam
Device linked to prohibited content. Confirm your identity immediately. [ADV-95],Spoofed
Make your money work for you — automated trading bot inside! [ADV-35],Spam
You are summoned for questioning under the Cyber Security Act. [ADV-88],Spoofed
You are summoned for questioning under the Cyber Security Act. [ADV-44],Spoofed
Here's the invoice for the July design retainer. Thanks again! [ADV-55],Ham
Lunch on Friday works for me — same place? [ADV-51],Ham
Increase testosterone 300% with this clinically proven supplement. [ADV-75],Spam
Join our exclusive crypto community and earn 20% weekly returns! [ADV-90],Spam
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-99],Spoofed
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-88],Spam
Make your money work for you — automated trading bot inside! [ADV-70],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-59],Ham
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-49],Ham
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-36],Spoofed
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-53],Spoofed
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-22],Ham
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-61],Spam
Security alert: Your IP triggered a government investigation. [ADV-77],Spoofed
Join our exclusive crypto community and earn 20% weekly returns! [ADV-92],Spam
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-58],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-50],Spam
Lowest flight deals of the season. Search and save now! [ADV-31],Spam
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-52],Spam
Legal has signed off on the NDA. Sharing it for your signature. [ADV-100],Ham
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-88],Ham
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-15],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-22],Spam
Flagged content found under your social media account. View report here. [ADV-100],Spoofed
Great job on the release! Let’s regroup next week for feedback. [ADV-21],Ham
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-89],Spam
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-72],Ham
Join our exclusive crypto community and earn 20% weekly returns! [ADV-7],Spam
Case ID #3821 filed against your digital activity. Check immediately. [ADV-71],Spoofed
Your PayPal account is at risk. Click to secure it. [ADV-3],Spam
